product_id,product_name,brand,product_color,subcategory_id,subcategory,category_id,category,unit_cost_usd,unit_price_usd
1827,Litware Washer & Dryer 27in L420 White,Litware,White,801,Washers & Dryers,8,Home Appliances,878.66,2652
1828,Litware Washer & Dryer 25.5in M350 White,Litware,White,801,Washers & Dryers,8,Home Appliances,914.67,1989
1829,Litware Washer & Dryer 24in M260 White,Litware,White,801,Washers & Dryers,8,Home Appliances,836.03,1818
1830,Litware Washer & Dryer 21in E214 White,Litware,White,801,Washers & Dryers,8,Home Appliances,815.22,1599
1831,Litware Washer & Dryer 15.5in E150 White,Litware,White,801,Washers & Dryers,8,Home Appliances,509.32,999
1832,Litware Washer & Dryer 27in L420 Silver,Litware,Silver,801,Washers & Dryers,8,Home Appliances,878.66,2652
1833,Litware Washer & Dryer 25.5in M350 Silver,Litware,Silver,801,Washers & Dryers,8,Home Appliances,914.67,1989
1834,Litware Washer & Dryer 24in M260 Silver,Litware,Silver,801,Washers & Dryers,8,Home Appliances,836.03,1818
1835,Litware Washer & Dryer 21in E214 Silver,Litware,Silver,801,Washers & Dryers,8,Home Appliances,815.22,1599
1836,Litware Washer & Dryer 15.5in E150 Silver,Litware,Silver,801,Washers & Dryers,8,Home Appliances,509.32,999
1837,Litware Washer & Dryer 27in L420 Blue,Litware,Blue,801,Washers & Dryers,8,Home Appliances,878.66,2652
1838,Litware Washer & Dryer 25.5in M350 Blue,Litware,Blue,801,Washers & Dryers,8,Home Appliances,914.67,1989
1839,Litware Washer & Dryer 24in M260 Blue,Litware,Blue,801,Washers & Dryers,8,Home Appliances,836.03,1818
1840,Litware Washer & Dryer 21in E214 Blue,Litware,Blue,801,Washers & Dryers,8,Home Appliances,815.22,1599
1841,Litware Washer & Dryer 15.5in E150 Blue,Litware,Blue,801,Washers & Dryers,8,Home Appliances,509.32,999
1842,Litware Washer & Dryer 27in L420 Green,Litware,Green,801,Washers & Dryers,8,Home Appliances,878.66,2652
1843,Litware Washer & Dryer 25.5in M350 Green,Litware,Green,801,Washers & Dryers,8,Home Appliances,914.67,1989
1844,Litware Washer & Dryer 24in M260 Green,Litware,Green,801,Washers & Dryers,8,Home Appliances,836.03,1818
1845,Litware Washer & Dryer 21in E214 Green,Litware,Green,801,Washers & Dryers,8,Home Appliances,815.22,1599
1846,Litware Washer & Dryer 15.5in E150 Green,Litware,Green,801,Washers & Dryers,8,Home Appliances,509.32,999
1847,NT Washer & Dryer 27in L2700 White,Northwind Traders,White,801,Washers & Dryers,8,Home Appliances,878.96,2652.9
1848,NT Washer & Dryer 25.5in M2550 White,Northwind Traders,White,801,Washers & Dryers,8,Home Appliances,915.08,1989.9
1849,NT Washer & Dryer 24in M2400 White,Northwind Traders,White,801,Washers & Dryers,8,Home Appliances,836.45,1818.9
1850,NT Washer & Dryer 21in E2100 White,Northwind Traders,White,801,Washers & Dryers,8,Home Appliances,815.68,1599.9
1851,NT Washer & Dryer 15.5in E1550 White,Northwind Traders,White,801,Washers & Dryers,8,Home Appliances,509.78,999.9
1852,NT Washer & Dryer 27in L2700 Silver,Northwind Traders,Silver,801,Washers & Dryers,8,Home Appliances,878.96,2652.9
1853,NT Washer & Dryer 25.5in M2550 Silver,Northwind Traders,Silver,801,Washers & Dryers,8,Home Appliances,915.08,1989.9
1854,NT Washer & Dryer 24in M2400 Silver,Northwind Traders,Silver,801,Washers & Dryers,8,Home Appliances,836.45,1818.9
1855,NT Washer & Dryer 21in E2100 Silver,Northwind Traders,Silver,801,Washers & Dryers,8,Home Appliances,815.68,1599.9
1856,NT Washer & Dryer 15.5in E1550 Silver,Northwind Traders,Silver,801,Washers & Dryers,8,Home Appliances,509.78,999.9
1857,NT Washer & Dryer 27in L2700 Blue,Northwind Traders,Blue,801,Washers & Dryers,8,Home Appliances,878.96,2652.9
1858,NT Washer & Dryer 25.5in M2550 Blue,Northwind Traders,Blue,801,Washers & Dryers,8,Home Appliances,915.08,1989.9
1859,NT Washer & Dryer 24in M2400 Blue,Northwind Traders,Blue,801,Washers & Dryers,8,Home Appliances,836.45,1818.9
1860,NT Washer & Dryer 21in E2100 Blue,Northwind Traders,Blue,801,Washers & Dryers,8,Home Appliances,815.68,1599.9
